DOW,DOW_NBR_PRIMARY,FISHERIES_WATERBODY_ID,WATERSHED_MINOR_ID,DOW_SUB_BASIN_NBR_PRIMARY,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,PLS_SECTION_ID_LAKE_CENTER,LAKE_NAME,ALT_LAKE_NAME,mean.gdd,area.hectares,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_PLANIMETERED_ACRES,MAX_DEPTH_FEET,MEAN_DEPTH_FEET,PDIST_cum,SHORE_LENGTH_MILES,MAX_FETCH_MILES,littoral.zone,LITTORAL_AREA_ACRES,secchi.m,FETCH_ORIENTATION_DEGREES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING
86012000,860120,4058,18014,0,24,NA,12002607,Ramsey,NA,2692.584159,128.0871659,355,316.51,275,80,21.4,0.613124696,3.83,1.4,0.4585693,135,1.44,360,45.2103,-93.99642,421757.8,5006583.3
86013401,860134,3822,18014,1,24,NA,12002604,Upper Maple,NA,2612.22331,298.8970327,267,738.59,777,76,18.8,0.572318105,9.32,1.9,0.71313185,396,2.88625,67,45.23568,-93.95517,424539.2,5009461.9
86014000,860140,4220,17004,0,30,NA,12102605,Silver,NA,2758.107519,33.47562592,89,82.72,78,42,16.9,0.619122895,1.55,0.46,0.3462077,30,1.2192,157,45.31111,-93.97944,423211.3,5018002.1
86014600,860146,4042,17003,0,24,NA,12102612,Ida,NA,2620.872985,91.26883358,260,225.53,231,60,19,0.363170069,2.83,0.85,0.8711046,109,4,22,45.30374,-93.90443,429078.3,5017038
86014800,860148,4048,17003,0,24,NA,12102614,Eagle,NA,2714.061233,77.23836996,199,190.86,244,38,14.5,0.474615807,2.56,0.82,0.6462898,169,2.13,45,45.28328,-93.91458,428254.5,5014888.5
86015600,860156,4046,17004,0,24,NA,12102629,Mary,NA,2672.708905,79.33059658,232,196.03,209,102,35.1,0.717467132,2.39,0.7,0.3837161,82,2.1,315,45.25284,-93.99112,422203.3,5011550.9
86016300,860163,4024,17072,0,24,NA,12202631,Limestone,NA,2657.364419,94.63986796,373,233.86,188,34,12.3,0.443844929,4.96,0.7,0.9402957,101,2.7,337,45.33354,-93.99929,421866.7,5020254.8
86016800,860168,4053,17004,0,24,NA,12202621,Locke,NA,2769.636952,56.64389942,152,139.97,156,49,18.1,0.601195085,2.61,0.8,0.2204203,67,0.9,45,45.36019,-93.96009,424870.5,5023398.6
86018200,860182,4068,18080,0,24,NA,12002725,Rock,NA,2759.056342,74.10610032,181,183.12,175,37,13.6,0.560609057,3.04,1,0.4633216,99,1.22,360,45.1707,-94.01299,420397.2,5002415.2
86018300,860183,4047,17005,0,30,NA,12202713,Fish,NA,2746.58778,39.3961821,104,97.35,98,38,13.2,0.466895611,1.66,0.57,0.4552529,58,1.145,22,45.38288,-94.01611,420465.7,5026018.3
86018400,860184,3062,18078,0,30,NA,11802703,Dutch,NA,2857.974493,65.6805378,218,162.3,153,21,10,0.723772738,2.53,1,0.24537975,112,0.59,NA,45.0536,-94.05326,417040.1,4989350.8
86018800,860188,3101,18077,0,43,NA,11802724,Emma,NA,2806.251302,76.31163902,216,188.57,179.5,16,9,0.877806088,2.71,0.76,0.6962332,179.5,1,NA,45.02043,-94.03045,418843.3,4985726.7
86019000,860190,4077,18077,0,24,NA,11802714,Ann,NA,2790.971671,151.9191244,457,375.4,386,18.5,10.1,0.898620502,3.62,1,0.4664335,295,1.1933335,337,45.02747,-94.04717,417423.6,4986470.8
86019300,860193,4035,18076,0,24,NA,11802725,Mary,NA,2782.959326,76.87819942,196,189.97,180,46,17.8,0.548957389,2.34,1,0.6104271,85,2.4,315,44.99608,-94.02343,419336.3,4983027.7
86019900,860199,4051,18078,0,24,NA,11902734,Howard,NA,2809.133274,301.4870231,764,744.99,717,39,16.1,0.759823055,4.69,2,0.3126449,318,1.1,NA,45.07262,-94.06939,415820.6,4991539.5
86021700,860217,4033,18082,0,24,NA,12002720,Granite,NA,2799.057916,146.4599103,358,361.91,339,34,17.7,0.629609246,3.8,1.37,0.2827555,108,1.41604,45,45.18472,-94.11008,412825.1,5004157.8
86022100,860221,4056,18079,0,24,NA,12002733,Camp,Henry,2773.750301,49.6752065,140,122.75,108,52,20,0.726331361,1.79,0.64,0.3461873,41,1.5,315,45.1621,-94.09286,414105.4,5001527.9
86022300,860223,4052,17072,0,24,NA,12102712,Indian,NA,2826.268123,56.36466608,135,139.28,146,31,16.4,0.514731369,2.55,0.8,0.2575524,65,1.145,22,45.30782,-94.02765,419446.5,5017682.9
